1,0,1,material0,gloveo3,1,
2,1,2,material0,glovem6,2,,
3,2,3,material0,gloveo3,3,,
4,3,4,material16,glovem3,4,
5,4,5,material0,gloveo12,5,,
6,5,6,material0,glovem4,,,
7,6,7,material0,glovem2,,,
8,7,8,material0,glovem9,,,
9,8,9,material0,glovem5,,,
10,9,10,material0,glovem11,1,,
11,10,12,material3,gloveo4,2,
12,11,14,material4,gloveo5,3,
13,12,16,material0,gloveo10,3,,
14,13,18,material0,gloveo13,4,,
15,14,20,material0,glovem13,5,,
16,15,22,material0,gloveo15,,,
17,16,24,material0,gloveo9,,,
18,17,26,material0,glovem12,,,
19,18,28,material0,viewhands_dnf_duke,,,
20,19,30,material0,glovem1,,,
21,20,21,material0,glovem16,,,
22,21,22,material0,gloveo11,,,
23,22,23,material0,glovem10,1,,
24,23,24,material20,gloveo7,1,
25,24,25,material6,glovem8,2,,
26,25,26,material2,glovem7,3,
27,26,27,material20,glovem0,0,
28,27,28,material3,glovem14,0,
29,28,29,material4,glovem15,0,
